"Data Source","World Development Indicators",

"Last Updated Date","2020-09-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"East Asia & Pacific (excluding high income)","EAP","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31262795375.6191","36159397586.2204","37726362281.6623","32089300817.7923","38173088507.0179","42972167666.6688","45967548031.689","51125257346.7107","45128276723.3683","61301219860.8314","64460815211.1856","77312819058.9538","93911744080.8327","100671369506.787","92037580333.8433","108629606654.891","124380351929.087","133204691429.357","146360093385.005","139686066478.154","143314101748.469","148841327653.533","157149964268.306","172992700953.759","",
"Early-demographic dividend","EAR","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45440109319.2372","51016103975.5196","56168867668.1867","53459191306.7241","55928597688.9596","61033964115.1378","60953112280.6301","64015004719.3768","71542602757.5955","89011192960.8636","99808401014.7224","108434708424.238","127747049186.527","140564912807.382","133027743684.186","150818842459.408","157332553274.162","166931949833.232","175125196749.896","190990245720.658","191722573402.476","186159094793.15","216802413458.186","237380565368.22","",
"East Asia & Pacific","EAS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80690825126.6481","90160222508.4965","87967129406.9144","77116336007.0269","85613274022.2207","92771274463.2246","95030981171.7672","104523746334.325","105502208758.365","137532181890.85","148412519110.331","162202919123.981","193581241083.381","215155382954.673","204598562665.975","251798092994.57","292843964778.87","317715764209.3","344967953926.58","355401901046.793","344541065986.514","357638226874.394","377305903726.289","417699365505.603","",
"Europe & Central Asia (excluding high income)","ECA","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11068714900.5018","14992135081.391","16874251021.8333","17345761992.5225","12425051305.8668","15082645991.9583","19316100843.672","22473984904.3776","25614140671.1981","33134876163.312","39993540484.8515","42180759991.1653","51960151946.9374","63730559246.4875","56735925350.396","57825048203.9877","69132792141.4291","74045746984.1519","82692851244.8924","81467675221.1564","69137753188.0503","61862833924.3923","72680700915.1235","84247072832.165","",
"Europe & Central Asia","ECS","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240567601343.349","255324208819.378","249522070687.34","262339720263.518","263998502836.815","255345449061.853","259025056210.412","278085079698.469","323977874789.17","378760370371.388","395703342947.992","429306201924.775","494583862522.377","537422607962.558","471021910679.202","466919078254.309","533433741189.328","526240632453.783","569385942931.877","596026577389.585","535890025562.516","540021948653.339","599323758660.465","651745620764.349","",
"Ecuador","ECU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","315000000","330000000","335000000","330000000","377000000","451000000","438000000","449000000","408000000","464000000","488000000","492000000","626000000","745000000","674000000","786000000","849000000","1039000000","1251000000","1487000000","1557000000","1450000000","1554000000","1878000000","",
"Egypt, Arab Rep.","EGY","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2954000000","3583000000","4046000000","2942000000","4361000000","4657000000","4119000000","4133000000","4704000000","6328000000","7206000000","8133000000","10327000000","12104000000","11757000000","13633000000","9333000000","10823000000","6747000000","7979000000","6897000000","3306000000","8636000000","12704000000","",
"Euro area","EMU","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164599837000","170214054000","162557361000","173105304000","191562000000","181263000000","181384000000","193788000000","227516000000","262995000000","266539000000","285832008000","324158000000","348562000000","307551000000","300207000000","341952000000","331275000000","356676000000","373528000000","334653664000","344335000000","383087000000","416234000000","",
"Eritrea","ERI","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58000000","69000000","90000000","34000000","28000000","36000000","74000000","73000000","74000000","73000000","66000000","60000000","61000000","46000000","26000000","","","","","","","48000000","","","",
"Spain","ESP","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27369000000","29751000000","28649000000","31592000000","32733000000","31528000000","32519000000","34130000000","42786000000","48746000000","51959000000","56181000000","63491000000","68875000000","59795000000","58348000000","67809000000","62936000000","68414000000","71656000000","62449000000","66982000000","75906000000","81250000000","",
"Estonia","EST","International tourism, receipts (current US$)","ST.INT.RCPT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452000000","565000000","597000000","668000000","702000000","657000000","661000000","737000000","883000000","1111000000","1229000000","1361000000","1416000000","1643000000","1090000000","1065000000","1256000000","1286000000","2022000000","2278000000","1893000000","1916000000","2126000000","2332000000","",
